Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0400","0.0006","0.0000"
"0.0600","0.0032","0.0000"
"0.0800","0.0107","0.0000"
"0.1000","0.0225","0.0000"
"0.1200","0.0355","0.0000"
"0.1400","0.0467","0.0000"
"0.1600","0.0557","0.0000"
"0.1800","0.0642","0.0000"
"0.2000","0.0732","0.0000"
"0.2200","0.0827","0.0000"
"0.2400","0.0923","0.0000"
"0.2600","0.1011","0.0000"
"0.2800","0.1100","0.0000"
"0.3000","0.1199","0.0000"
"0.3200","0.1305","0.0000"
"0.3400","0.1410","0.0000"
"0.3600","0.1507","0.0000"
"0.3800","0.1602","0.0000"
"0.4000","0.1704","0.0000"
"0.4200","0.1808","0.0000"
"0.4400","0.1913","0.0000"
"0.4600","0.2011","0.0000"
"0.4800","0.2102","0.0000"
"0.5000","0.2196","0.0000"
"0.5200","0.2299","0.0000"
"0.5400","0.2409","0.0000"
"0.5600","0.2514","0.0000"
"0.5800","0.2606","0.0000"
"0.6000","0.2696","0.0000"
"0.6200","0.2796","0.0000"
"0.6400","0.2903","0.0000"
"0.6600","0.3007","0.0000"
"0.6800","0.3101","0.0000"
"0.7000","0.3194","0.0001"
"0.7200","0.3298","0.0001"
"0.7400","0.3407","0.0001"
"0.7600","0.3511","0.0001"
"0.7800","0.3606","0.0001"
"0.8000","0.3697","0.0001"
"0.8200","0.3795","0.0001"
"0.8400","0.3897","0.0001"
"0.8600","0.4000","0.0001"
"0.8800","0.4098","0.0001"
"0.9000","0.4191","0.0001"
"0.9200","0.4287","0.0001"
"0.9400","0.4391","0.0001"
"0.9600","0.4499","0.0001"
"0.9800","0.4604","0.0001"
"1.0000","0.4699","0.0002"
"1.0200","0.4795","0.0002"
"1.0400","0.4899","0.0002"
"1.0600","0.5008","0.0002"
"1.0800","0.5112","0.0002"
"1.1000","0.5206","0.0002"
"1.1200","0.5303","0.0002"
"1.1400","0.5408","0.0002"
"1.1600","0.5514","0.0002"
"1.1800","0.5613","0.0002"
"1.2000","0.5703","0.0003"
"1.2200","0.5794","0.0003"
"1.2400","0.5892","0.0003"
"1.2600","0.5995","0.0003"
"1.2800","0.6102","0.0003"
"1.3000","0.6206","0.0003"
"1.3200","0.6303","0.0003"
"1.3400","0.6402","0.0004"
"1.3600","0.6505","0.0004"
"1.3800","0.6609","0.0004"
"1.4000","0.6705","0.0004"
"1.4200","0.6795","0.0004"
"1.4400","0.6890","0.0004"
"1.4600","0.6994","0.0004"
"1.4800","0.7102","0.0005"
"1.5000","0.7203","0.0005"
"1.5200","0.7295","0.0005"
"1.5400","0.7390","0.0005"
"1.5600","0.7495","0.0005"
"1.5800","0.7603","0.0005"
"1.6000","0.7705","0.0006"
"1.6200","0.7798","0.0006"
"1.6400","0.7894","0.0006"
"1.6600","0.7998","0.0006"
"1.6800","0.8104","0.0006"
"1.7000","0.8212","0.0006"
"1.7200","0.8309","0.0007"
"1.7400","0.8401","0.0007"
"1.7600","0.8501","0.0007"
"1.7800","0.8607","0.0007"
"1.8000","0.8715","0.0007"
"1.8200","0.8811","0.0007"
"1.8400","0.8900","0.0008"
"1.8600","0.8996","0.0008"
"1.8800","0.9102","0.0008"
"1.9000","0.9209","0.0008"
"1.9200","0.9307","0.0008"
"1.9400","0.9399","0.0008"
"1.9600","0.9498","0.0008"
"1.9800","0.9605","0.0009"
"2.0000","0.9710","0.0009"
"2.0200","0.9807","0.0009"
"2.0400","0.9897","0.0009"
"2.0600","0.9993","0.0009"
"2.0800","1.0096","0.0009"
"2.1000","1.0202","0.0009"
"2.1200","1.0307","0.0009"
"2.1400","1.0404","0.0010"
"2.1600","1.0497","0.0010"
"2.1800","1.0595","0.0010"
"2.2000","1.0696","0.0010"
"2.2200","1.0800","0.0010"
"2.2400","1.0899","0.0010"
"2.2600","1.0994","0.0010"
"2.2800","1.1096","0.0010"
"2.3000","1.1204","0.0011"
"2.3200","1.1314","0.0011"
