Time,Displacement,Force
(s),(mm),(kN)
"0.0000","0.0000","0.0000"
"0.0200","0.0000","0.0000"
"0.0400","0.0002","0.0001"
"0.0600","0.0009","0.0001"
"0.0800","0.0024","0.0001"
"0.1000","0.0064","0.0001"
"0.1200","0.0143","0.0001"
"0.1400","0.0239","0.0001"
"0.1600","0.0334","0.0001"
"0.1800","0.0423","0.0001"
"0.2000","0.0499","0.0001"
"0.2200","0.0565","0.0001"
"0.2400","0.0632","0.0001"
"0.2600","0.0708","0.0001"
"0.2800","0.0790","0.0001"
"0.3000","0.0875","0.0001"
"0.3200","0.0957","0.0001"
"0.3400","0.1028","0.0001"
"0.3600","0.1095","0.0002"
"0.3800","0.1168","0.0002"
"0.4000","0.1253","0.0002"
"0.4200","0.1339","0.0002"
"0.4400","0.1424","0.0002"
"0.4600","0.1503","0.0002"
"0.4800","0.1576","0.0002"
"0.5000","0.1651","0.0002"
"0.5200","0.1734","0.0002"
"0.5400","0.1820","0.0002"
"0.5600","0.1905","0.0002"
"0.5800","0.1990","0.0002"
"0.6000","0.2069","0.0003"
"0.6200","0.2141","0.0003"
"0.6400","0.2215","0.0003"
"0.6600","0.2294","0.0003"
"0.6800","0.2374","0.0003"
"0.7000","0.2458","0.0003"
"0.7200","0.2539","0.0003"
"0.7400","0.2613","0.0003"
"0.7600","0.2686","0.0003"
"0.7800","0.2767","0.0003"
"0.8000","0.2855","0.0003"
"0.8200","0.2943","0.0004"
"0.8400","0.3029","0.0004"
"0.8600","0.3104","0.0004"
"0.8800","0.3174","0.0004"
"0.9000","0.3248","0.0004"
"0.9200","0.3331","0.0004"
"0.9400","0.3415","0.0004"
"0.9600","0.3500","0.0004"
"0.9800","0.3580","0.0004"
"1.0000","0.3655","0.0004"
"1.0200","0.3730","0.0004"
"1.0400","0.3811","0.0005"
"1.0600","0.3895","0.0005"
"1.0800","0.3977","0.0005"
"1.1000","0.4061","0.0005"
"1.1200","0.4138","0.0005"
"1.1400","0.4210","0.0005"
"1.1600","0.4284","0.0005"
"1.1800","0.4365","0.0005"
"1.2000","0.4448","0.0005"
"1.2200","0.4534","0.0005"
"1.2400","0.4619","0.0005"
"1.2600","0.4697","0.0005"
"1.2800","0.4773","0.0006"
"1.3000","0.4854","0.0006"
"1.3200","0.4941","0.0006"
"1.3400","0.5028","0.0006"
"1.3600","0.5112","0.0006"
"1.3800","0.5184","0.0006"
"1.4000","0.5253","0.0006"
"1.4200","0.5326","0.0006"
"1.4400","0.5409","0.0006"
"1.4600","0.5496","0.0006"
"1.4800","0.5581","0.0006"
"1.5000","0.5661","0.0006"
"1.5200","0.5735","0.0007"
"1.5400","0.5811","0.0007"
"1.5600","0.5893","0.0007"
"1.5800","0.5979","0.0007"
"1.6000","0.6061","0.0007"
"1.6200","0.6143","0.0007"
"1.6400","0.6220","0.0007"
"1.6600","0.6291","0.0007"
"1.6800","0.6364","0.0007"
"1.7000","0.6444","0.0007"
"1.7200","0.6529","0.0007"
"1.7400","0.6616","0.0007"
"1.7600","0.6704","0.0007"
"1.7800","0.6782","0.0007"
"1.8000","0.6854","0.0008"
"1.8200","0.6929","0.0008"
"1.8400","0.7011","0.0008"
"1.8600","0.7096","0.0008"
"1.8800","0.7181","0.0008"
"1.9000","0.7256","0.0008"
"1.9200","0.7325","0.0008"
"1.9400","0.7399","0.0008"
"1.9600","0.7483","0.0008"
"1.9800","0.7569","0.0008"
"2.0000","0.7655","0.0008"
"2.0200","0.7738","0.0008"
"2.0400","0.7815","0.0009"
"2.0600","0.7891","0.0009"
"2.0800","0.7973","0.0009"
"2.1000","0.8059","0.0009"
"2.1200","0.8142","0.0009"
"2.1400","0.8225","0.0009"
"2.1600","0.8302","0.0009"
"2.1800","0.8373","0.0009"
"2.2000","0.8447","0.0009"
"2.2200","0.8528","0.0009"
"2.2400","0.8615","0.0009"
"2.2600","0.8703","0.0009"
"2.2800","0.8788","0.0009"
"2.3000","0.8863","0.0009"
"2.3200","0.8933","0.0010"
